StartPoint,Algorithm,EndPoint,Steps
0,BI,10,3
0,FI,7,4
1,BI,10,4
1,FI,7,3
2,BI,10,2
2,FI,7,3
3,BI,10,3
3,FI,7,2
4,BI,12,2
4,FI,7,3
5,BI,10,5
5,FI,7,2
6,BI,7,2
6,FI,7,2
7,BI,7,1
7,FI,7,1
8,BI,10,2
8,FI,10,4
9,BI,10,3
9,FI,10,3
10,BI,10,1
10,FI,10,1
11,BI,10,2
11,FI,10,2
12,BI,12,1
12,FI,12,1
13,BI,10,4
13,FI,12,2
14,BI,10,2
14,FI,12,2
15,BI,10,3
15,FI,12,3
16,BI,16,1
16,FI,16,1
17,BI,16,2
17,FI,16,2
18,BI,16,2
18,FI,16,2
19,BI,16,3
19,FI,16,3
20,BI,16,2
20,FI,16,2
21,BI,10,6
21,FI,16,3
22,BI,7,3
22,FI,16,3
23,BI,7,2
23,FI,16,4
24,BI,10,3
24,FI,16,2
25,BI,10,4
25,FI,16,3
26,BI,10,2
26,FI,16,3
27,BI,10,3
27,FI,16,4
28,BI,12,2
28,FI,16,3
29,BI,10,5
29,FI,16,4
30,BI,10,3
30,FI,16,6
31,BI,10,4
31,FI,16,5
